Acct Code,Acct Name,Acct Type,Op ID,Op Date,Op Type,Op Name,Op Detail,Op Amount
0001,ERAY ELEKTRONİK,,,44166,,,,
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27361,44968,2,000634579,777/KİŞ-8024853-YETER ÖZTÜRK-HESABA MAHSUBEN,861.09
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27358,44968,2,000999293,777/KİŞ-9474115-YETER ÖZTÜRK-HESABA MAHSUBEN,34.44
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27355,44968,2,000795783,777/KİŞ-0963510-YETER ÖZTÜRK-HESABA MAHSUBEN,496.97
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27352,44968,2,000571976,777/KİŞ-2218997-YETER ÖZTÜRK-HESABA MAHSUBEN,280.47
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27348,44968,2,000926847,777/KİŞ-3861185-YETER ÖZTÜRK-HESABA MAHSUBEN,186.98
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27344,44968,2,000955185,777/KİŞ-6391800-YETER ÖZTÜRK-HESABA MAHSUBEN,1205.52
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27341,44968,2,000744919,777/KİŞ-7646535-YETER ÖZTÜRK-HESABA MAHSUBEN,364.12
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27339,44968,2,000530179,777/KİŞ-8800536-YETER ÖZTÜRK-HESABA MAHSUBEN,511.73
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27337,44968,2,000544226,777/KİŞ-1225813-YETER ÖZTÜRK-HESABA MAHSUBEN,162.38
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27334,44968,2,000649360,777/KİŞ-4439763-YETER ÖZTÜRK-HESABA MAHSUBEN,893.56
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27331,44968,2,000735241,777/KİŞ-4821177-YETER ÖZTÜRK-HESABA MAHSUBEN,893.56
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27328,44968,2,000628095,777/KİŞ-6477881-YETER ÖZTÜRK-HESABA MAHSUBEN,428.08
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27326,44968,2,000902004,777/KİŞ-7693204-YETER ÖZTÜRK-HESABA MAHSUBEN,250.95
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27323,44968,2,000644934,777/KİŞ-8771340-YETER ÖZTÜRK-HESABA MAHSUBEN,309.99
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27319,44968,2,000920434,777/KİŞ-0118248-YETER ÖZTÜRK-HESABA MAHSUBEN,615.06
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27315,44968,2,000706860,777/KİŞ-3444755-YETER ÖZTÜRK-HESABA MAHSUBEN,467.45
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27312,44968,2,000836940,777/KİŞ-4049954-YETER ÖZTÜRK-HESABA MAHSUBEN,255.87
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27309,44968,2,000633393,777/KİŞ-5240055-YETER ÖZTÜRK-HESABA MAHSUBEN,369.04
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27306,44968,2,000896824,777/KİŞ-6346767-YETER ÖZTÜRK-HESABA MAHSUBEN,255.87
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27300,44968,2,000705509,777/KİŞ-9799952-YETER ÖZTÜRK-HESABA MAHSUBEN,309.99
0001-OZ,DİKMEN SANDWICH-YETE,OZ,27297,44968,2,000607364,777/KİŞ-1538242-YETER ÖZTÜRK-HESABA MAHSUBEN,472.37
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18676,44897,2,000723192,0777/KİŞ-1477065-YETER ÖZTÜRK-HESABA MAHSUBEN,418.24
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18672,44897,2,000603104,0777/KİŞ-3014227-YETER ÖZTÜRK-HESABA MAHSUBEN,373.96
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18669,44897,2,000817587,0777/KİŞ-3910394-YETER ÖZTÜRK-HESABA MAHSUBEN,123.01
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18665,44897,2,000662863,0777/KİŞ-5252613-YETER ÖZTÜRK-HESABA MAHSUBEN,329.67
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18659,44897,2,000698677,0777/KİŞ-7825168-YETER ÖZTÜRK-HESABA MAHSUBEN,895.53
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18655,44897,2,000532086,0777/KİŞ-9123680-YETER ÖZTÜRK-HESABA MAHSUBEN,536.33
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18652,44897,2,000808741,0777/KİŞ-0429576-YETER ÖZTÜRK-HESABA MAHSUBEN,772.52
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18647,44897,2,000591282,0777/KİŞ-1591892-YETER ÖZTÜRK-HESABA MAHSUBEN,236.18
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18644,44897,2,000829449,0777/KİŞ-2558939-YETER ÖZTÜRK-HESABA MAHSUBEN,413.32
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18639,44897,2,000885257,0777/KİŞ-4933386-YETER ÖZTÜRK-HESABA MAHSUBEN,890.61
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18635,44897,2,000687319,0777/KİŞ-6484886-YETER ÖZTÜRK-HESABA MAHSUBEN,679.03
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18631,44897,2,000512495,0777/KİŞ-8032091-YETER ÖZTÜRK-HESABA MAHSUBEN,216.50
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18627,44897,2,000776285,0777/KİŞ-9207512-YETER ÖZTÜRK-HESABA MAHSUBEN,423.16
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18624,44897,2,000555770,0777/KİŞ-0466631-YETER ÖZTÜRK-HESABA MAHSUBEN,303.39
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18620,44897,2,000635106,7777/MBL-3010048-YETER ÖZTÜRK-HESABA MAHSUBEN,839.44
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18618,44897,2,000888191,0777/KİŞ-4027912-YETER ÖZTÜRK-HESABA MAHSUBEN,467.45
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18615,44897,2,000658743,0777/KİŞ-5097246-YETER ÖZTÜRK-HESABA MAHSUBEN,339.51
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18612,44897,2,000923109,0777/KİŞ-6129283-YETER ÖZTÜRK-HESABA MAHSUBEN,118.09
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18608,44897,2,000677493,0777/KİŞ-7149547-YETER ÖZTÜRK-HESABA MAHSUBEN,167.30
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18605,44897,2,000713925,0777/KİŞ-9422174-YETER ÖZTÜRK-HESABA MAHSUBEN,442.85
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18601,44897,2,000988750,0777/KİŞ-0612909-YETER ÖZTÜRK-HESABA MAHSUBEN,295.23
0001-OZ,DİKMEN SANDWICH-YETE,OZ,18598,44897,2,000785461,0777/KİŞ-1757563-YETER ÖZTÜRK-HESABA MAHSUBEN,536.33
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16826,44867,2,000850814,0777/KİŞ-3000002-YETER ÖZTÜRK-HESABA MAHSUBEN,541.26
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16821,44867,2,000675534,0777/KİŞ-4254947-YETER ÖZTÜRK-HESABA MAHSUBEN,383.80
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16815,44867,2,000542597,0777/KİŞ-5732751-YETER ÖZTÜRK-HESABA MAHSUBEN,373.96
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16809,44867,2,000824221,0777/KİŞ-6769813-YETER ÖZTÜRK-HESABA MAHSUBEN,265.71
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16804,44867,2,000835062,0777/KİŞ-9006966-YETER ÖZTÜRK-HESABA MAHSUBEN,1426.95
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16799,44867,2,000705543,0777/KİŞ-0546760-YETER ÖZTÜRK-HESABA MAHSUBEN,275.55
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16793,44867,2,000959729,0777/KİŞ-1501571-YETER ÖZTÜRK-HESABA MAHSUBEN,295.23
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16788,44867,2,000749124,0777/KİŞ-2661047-YETER ÖZTÜRK-HESABA MAHSUBEN,487.13
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16782,44867,2,000932811,0777/KİŞ-3399781-YETER ÖZTÜRK-HESABA MAHSUBEN,466.46
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16777,44867,2,000977157,0777/KİŞ-6476215-YETER ÖZTÜRK-HESABA MAHSUBEN,1176.00
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16771,44867,2,000854096,0777/KİŞ-7998807-YETER ÖZTÜRK-HESABA MAHSUBEN,433.00
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16766,44867,2,000601583,0777/KİŞ-8985817-YETER ÖZTÜRK-HESABA MAHSUBEN,900.45
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16761,44867,2,000855035,0777/KİŞ-0280877-YETER ÖZTÜRK-HESABA MAHSUBEN,388.72
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16757,44867,2,000617558,0777/KİŞ-1338138-YETER ÖZTÜRK-HESABA MAHSUBEN,1299.01
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16752,44867,2,000625257,0777/KİŞ-3499138-YETER ÖZTÜRK-HESABA MAHSUBEN,1038.23
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16747,44867,2,000951252,0777/KİŞ-4642431-YETER ÖZTÜRK-HESABA MAHSUBEN,393.64
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16742,44867,2,000725275,0777/KİŞ-5662494-YETER ÖZTÜRK-HESABA MAHSUBEN,157.46
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16737,44867,2,000555902,0777/KİŞ-6881616-YETER ÖZTÜRK-HESABA MAHSUBEN,359.20
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16732,44867,2,000749644,0777/KİŞ-7595982-YETER ÖZTÜRK-HESABA MAHSUBEN,305.07
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16727,44867,2,000872340,0777/KİŞ-0291267-YETER ÖZTÜRK-HESABA MAHSUBEN,910.29
0001-OZ,DİKMEN SANDWICH-YETE,OZ,16425,44834,3,,Akbank 66796 hs.Yeter Öztürk,408.40
0001-OZ,DİKMEN SANDWICH-YETE,OZ,15156,44839,2,000504030,0777/KİŞ-1734953-YETER ÖZTÜRK-HESABA MAHSUBEN,1805.82
0001-OZ,DİKMEN SANDWICH-YETE,OZ,15149,44839,2,000982486,0777/KİŞ-6116154-YETER ÖZTÜRK-HESABA MAHSUBEN,674.11
0001-OZ,DİKMEN SANDWICH-YETE,OZ,15143,44839,2,000535911,0777/KİŞ-8552202-YETER ÖZTÜRK-HESABA MAHSUBEN,1077.59
0001-OZ,DİKMEN SANDWICH-YETE,OZ,15137,44839,2,000815399,0777/KİŞ-9621338-YETER ÖZTÜRK-HESABA MAHSUBEN,383.80
0001-OZ,DİKMEN SANDWICH-YETE,OZ,15131,44839,2,000632498,0777/KİŞ-1046208-YETER ÖZTÜRK-HESABA MAHSUBEN,383.80
0001-OZ,DİKMEN SANDWICH-YETE,OZ,15125,44839,2,000812821,0777/KİŞ-1755980-YETER ÖZTÜRK-HESABA MAHSUBEN,39.36
0001-OZ,DİKMEN SANDWICH-YETE,OZ,15119,44839,2,000569286,0777/KİŞ-2705127-YETER ÖZTÜRK-HESABA MAHSUBEN,492.05
0001-OZ,DİKMEN SANDWICH-YETE,OZ,15114,44839,2,000600492,0777/KİŞ-4826812-YETER ÖZTÜRK-HESABA MAHSUBEN,1648.37
0001-OZ,DİKMEN SANDWICH-YETE,OZ,15108,44839,2,000944956,0777/KİŞ-5889549-YETER ÖZTÜRK-HESABA MAHSUBEN,595.38
0001-OZ,DİKMEN SANDWICH-YETE,OZ,15102,44839,2,000802189,0777/KİŞ-7114888-YETER ÖZTÜRK-HESABA MAHSUBEN,531.41
0001-OZ,DİKMEN SANDWICH-YETE,OZ,15096,44839,2,000943972,0777/KİŞ-7659036-YETER ÖZTÜRK-HESABA MAHSUBEN,59.05
0001-OZ,DİKMEN SANDWICH-YETE,OZ,14117,44824,2,000718317,0777/KİŞ-1125470-YETER ÖZTÜRK-HESABA MAHSUBEN,1239.96
0001-OZ,DİKMEN SANDWICH-YETE,OZ,14111,44824,2,000618793,0777/KİŞ-2444391-YETER ÖZTÜRK-HESABA MAHSUBEN,447.77
0001-OZ,DİKMEN SANDWICH-YETE,OZ,14109,44824,2,000754495,0777/KİŞ-3004047-YETER ÖZTÜRK-HESABA MAHSUBEN,265.71
0001-OZ,DİKMEN SANDWICH-YETE,OZ,14103,44824,2,000637855,0777/KİŞ-4595118-YETER ÖZTÜRK-HESABA MAHSUBEN,556.02
0001-OZ,DİKMEN SANDWICH-YETE,OZ,14097,44824,2,000915219,0777/KİŞ-4216944-YETER ÖZTÜRK-HESABA MAHSUBEN,1338.38
0001-OZ,DİKMEN SANDWICH-YETE,OZ,14091,44824,2,000825527,0777/KİŞ-5739825-YETER ÖZTÜRK-HESABA MAHSUBEN,447.77
0001-OZ,DİKMEN SANDWICH-YETE,OZ,14085,44824,2,000538665,0777/KİŞ-6523422-YETER ÖZTÜRK-HESABA MAHSUBEN,88.57
0001-OZ,DİKMEN SANDWICH-YETE,OZ,14074,44824,2,000593479,0777/KİŞ-8580304-YETER ÖZTÜRK-HESABA MAHSUBEN,241.10
0001-OZ,DİKMEN SANDWICH-YETE,OZ,14068,44824,2,000999446,0777/KİŞ-9515070-YETER ÖZTÜRK-HESABA MAHSUBEN,447.77
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13151,44805,2,000572389,0777/KİŞ-7866811-YETER ÖZTÜRK-HESABA MAHSUBEN,408.40
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13146,44805,2,000868166,0777/KİŞ-9540714-YETER ÖZTÜRK-HESABA MAHSUBEN,841.41
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13140,44805,2,000588076,0777/KİŞ-1050335-YETER ÖZTÜRK-HESABA MAHSUBEN,634.74
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13134,44805,2,000832647,0777/KİŞ-2431232-YETER ÖZTÜRK-HESABA MAHSUBEN,507.80
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13129,44805,2,000889370,0777/KİŞ-5916667-YETER ÖZTÜRK-HESABA MAHSUBEN,1426.95
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13123,44805,2,000693122,0777/KİŞ-7362521-YETER ÖZTÜRK-HESABA MAHSUBEN,241.10
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13118,44805,2,000981805,0777/KİŞ-8834849-YETER ÖZTÜRK-HESABA MAHSUBEN,78.73
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13112,44805,2,000702202,0777/KİŞ-0286306-YETER ÖZTÜRK-HESABA MAHSUBEN,329.67
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13106,44805,2,000995843,0777/KİŞ-1715310-YETER ÖZTÜRK-HESABA MAHSUBEN,309.99
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13100,44805,2,000504320,0777/KİŞ-4783843-YETER ÖZTÜRK-HESABA MAHSUBEN,1279.33
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13094,44805,2,000601942,0777/KİŞ-7637827-YETER ÖZTÜRK-HESABA MAHSUBEN,616.05
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13086,44805,2,000727527,0777/KİŞ-4976525-YETER ÖZTÜRK-HESABA MAHSUBEN,1659.19
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13080,44805,2,000972230,0777/KİŞ-8562206-YETER ÖZTÜRK-HESABA MAHSUBEN,98.41
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13074,44805,2,000780259,0777/KİŞ-0407058-YETER ÖZTÜRK-HESABA MAHSUBEN,558.48
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13068,44805,2,000817592,0777/KİŞ-0590310-YETER ÖZTÜRK-HESABA MAHSUBEN,54.13
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13062,44805,2,000542191,0777/KİŞ-1846341-YETER ÖZTÜRK-HESABA MAHSUBEN,560.94
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13056,44805,2,000620576,0777/KİŞ-5761524-YETER ÖZTÜRK-HESABA MAHSUBEN,866.01
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13050,44805,2,000877271,0777/KİŞ-7132612-YETER ÖZTÜRK-HESABA MAHSUBEN,201.74
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13044,44805,2,000657168,0777/KİŞ-8636224-YETER ÖZTÜRK-HESABA MAHSUBEN,442.85
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13038,44805,2,000618133,0777/KİŞ-1474188-YETER ÖZTÜRK-HESABA MAHSUBEN,659.35
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13032,44805,2,000791778,0777/KİŞ-2157841-YETER ÖZTÜRK-HESABA MAHSUBEN,944.74
0001-OZ,DİKMEN SANDWICH-YETE,OZ,13026,44805,2,000716765,0777/KİŞ-5639680-YETER ÖZTÜRK-HESABA MAHSUBEN,1472.21
0001-OZ,DİKMEN SANDWICH-YETE,OZ,12949,44805,2,000902117,0777/KİŞ-1340163-YETER ÖZTÜRK-HESABA MAHSUBEN,1308.36
0001-OZ,DİKMEN SANDWICH-YETE,OZ,12947,44805,2,000869869,0777/KİŞ-3710708-YETER ÖZTÜRK-HESABA MAHSUBEN,930.96
0001-OZ,DİKMEN SANDWICH-YETE,OZ,12943,44805,2,000592097,0777/KİŞ-4849250-YETER ÖZTÜRK-HESABA MAHSUBEN,137.77
0001-OZ,DİKMEN SANDWICH-YETE,OZ,12939,44805,2,000551988,0777/KİŞ-7232342-YETER ÖZTÜRK-HESABA MAHSUBEN,388.72
0001-OZ,DİKMEN SANDWICH-YETE,OZ,12934,44805,2,000781591,0777/KİŞ-2278989-YETER ÖZTÜRK-HESABA MAHSUBEN,516.66
0001-OZ,DİKMEN SANDWICH-YETE,OZ,12930,44805,2,000758343,0777/KİŞ-7807125-YETER ÖZTÜRK-HESABA MAHSUBEN,1692.65
0001-OZ,DİKMEN SANDWICH-YETE,OZ,12926,44805,2,000500877,0777/KİŞ-8828915-YETER ÖZTÜRK-HESABA MAHSUBEN,241.10
0001-OZ,DİKMEN SANDWICH-YETE,OZ,12922,44805,2,000787211,0777/KİŞ-0395387-YETER ÖZTÜRK-HESABA MAHSUBEN,295.23
0001-OZ,DİKMEN SANDWICH-YETE,OZ,12917,44805,2,000672018,0777/KİŞ-2120626-YETER ÖZTÜRK-HESABA MAHSUBEN,191.90
0001-OZ,DİKMEN SANDWICH-YETE,OZ,12911,44805,2,000907145,0777/KİŞ-3311970-YETER ÖZTÜRK-HESABA MAHSUBEN,521.57
0001-OZ,DİKMEN SANDWICH-YETE,OZ,12905,44805,2,000928745,0777/KİŞ-6212872-YETER ÖZTÜRK-HESABA MAHSUBEN,1820.59
0001-OZ,DİKMEN SANDWICH-YETE,OZ,12899,44805,2,000805374,0777/KİŞ-7736281-YETER ÖZTÜRK-HESABA MAHSUBEN,729.22
0001-OZ,DİKMEN SANDWICH-YETE,OZ,12893,44805,2,000545206,0777/KİŞ-8862614-YETER ÖZTÜRK-HESABA MAHSUBEN,147.62
0001-OZ,DİKMEN SANDWICH-YETE,OZ,12887,44805,2,000858013,0777/KİŞ-0497446-YETER ÖZTÜRK-HESABA MAHSUBEN,369.04
0002,ŞEHİTOĞLU ELEKTRONİK,G,,44166,,,,
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27360,44968,2,000635414,777/KİŞ-8027293-HÜSEYIN DINÇER-HESABA MAHSUBEN,974.26
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27357,44968,2,000999909,777/KİŞ-9476347-HÜSEYIN DINÇER-HESABA MAHSUBEN,544.21
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27354,44968,2,000796673,777/KİŞ-0966260-HÜSEYIN DINÇER-HESABA MAHSUBEN,13.78
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27351,44968,2,000572554,777/KİŞ-2221085-HÜSEYIN DINÇER-HESABA MAHSUBEN,62.98
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27347,44968,2,000927253,777/KİŞ-3862817-HÜSEYIN DINÇER-HESABA MAHSUBEN,144.66
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27333,44968,2,000650227,777/KİŞ-4443742-HÜSEYIN DINÇER-HESABA MAHSUBEN,982.13
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27330,44968,2,000735838,777/KİŞ-4823149-HÜSEYIN DINÇER-HESABA MAHSUBEN,982.13
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27325,44968,2,000902378,777/KİŞ-7694356-HÜSEYIN DINÇER-HESABA MAHSUBEN,288.34
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27318,44968,2,000920923,777/KİŞ-0119825-HÜSEYIN DINÇER-HESABA MAHSUBEN,940.80
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27314,44968,2,000707720,777/KİŞ-3447740-HÜSEYIN DINÇER-HESABA MAHSUBEN,5664.48
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27311,44968,2,000837629,777/KİŞ-4051896-HÜSEYIN DINÇER-HESABA MAHSUBEN,683.95
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27308,44968,2,000635911,777/KİŞ-5247686-HÜSEYIN DINÇER-HESABA MAHSUBEN,435.96
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27305,44968,2,000897304,777/KİŞ-6348103-HÜSEYIN DINÇER-HESABA MAHSUBEN,17.71
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27302,44968,2,000661211,777/KİŞ-7391032-HÜSEYIN DINÇER-HESABA MAHSUBEN,304.09
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,27299,44968,2,000706096,777/KİŞ-0001256-HÜSEYIN DINÇER-HESABA MAHSUBEN,75.78
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18674,44897,2,000725685,0777/KİŞ-1484152-HÜSEYIN DINÇER-HESABA MAHSUBEN,753.82
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18671,44897,2,000604149,0777/KİŞ-3017349-HÜSEYIN DINÇER-HESABA MAHSUBEN,445.80
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18667,44897,2,000818354,0777/KİŞ-3912579-HÜSEYIN DINÇER-HESABA MAHSUBEN,735.12
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18663,44897,2,000663665,0777/KİŞ-5255502-HÜSEYIN DINÇER-HESABA MAHSUBEN,940.80
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18657,44897,2,000699996,0777/KİŞ-7828799-HÜSEYIN DINÇER-HESABA MAHSUBEN,4353.66
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18654,44897,2,000532687,0777/KİŞ-9125579-HÜSEYIN DINÇER-HESABA MAHSUBEN,379.86
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18650,44897,2,000871241,0777/KİŞ-0668366-HÜSEYIN DINÇER-HESABA MAHSUBEN,298.18
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18646,44897,2,000592369,0777/KİŞ-1598326-HÜSEYIN DINÇER-HESABA MAHSUBEN,336.56
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18642,44897,2,000830647,0777/KİŞ-2562115-HÜSEYIN DINÇER-HESABA MAHSUBEN,280.47
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18638,44897,2,000885843,0777/KİŞ-4934944-HÜSEYIN DINÇER-HESABA MAHSUBEN,1476.15
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18634,44897,2,000687609,0777/KİŞ-6485994-HÜSEYIN DINÇER-HESABA MAHSUBEN,54.13
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18630,44897,2,000512974,0777/KİŞ-8033722-HÜSEYIN DINÇER-HESABA MAHSUBEN,261.77
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18626,44897,2,000777429,0777/KİŞ-9211294-HÜSEYIN DINÇER-HESABA MAHSUBEN,438.91
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18623,44897,2,000556296,0777/KİŞ-0468004-HÜSEYIN DINÇER-HESABA MAHSUBEN,73.81
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18611,44897,2,000923428,0777/KİŞ-6130252-HÜSEYIN DINÇER-HESABA MAHSUBEN,321.80
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18604,44897,2,000715024,0777/KİŞ-9423455-HÜSEYIN DINÇER-HESABA MAHSUBEN,623.92
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,18600,44897,2,000989089,0777/KİŞ-0613772-HÜSEYIN DINÇER-HESABA MAHSUBEN,894.55
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,16824,44867,2,000852187,0777/KİŞ-3003849-HÜSEYIN DINÇER-HESABA MAHSUBEN,421.19
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,16818,44867,2,000678004,0777/KİŞ-4262926-HÜSEYIN DINÇER-HESABA MAHSUBEN,489.10
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,16812,44867,2,000544409,0777/KİŞ-5738944-HÜSEYIN DINÇER-HESABA MAHSUBEN,155.49
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,16796,44867,2,000707011,0777/KİŞ-0551526-HÜSEYIN DINÇER-HESABA MAHSUBEN,599.32
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,16791,44867,2,000960536,0777/KİŞ-1504121-HÜSEYIN DINÇER-HESABA MAHSUBEN,838.45
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,16785,44867,2,000750459,0777/KİŞ-2665520-HÜSEYIN DINÇER-HESABA MAHSUBEN,851.25
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,16780,44867,2,000933726,0777/KİŞ-3402654-HÜSEYIN DINÇER-HESABA MAHSUBEN,995.91
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,16774,44867,2,000980122,0777/KİŞ-6488872-HÜSEYIN DINÇER-HESABA MAHSUBEN,1191.75
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,16764,44867,2,000602716,0777/KİŞ-8989659-HÜSEYIN DINÇER-HESABA MAHSUBEN,154.50
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,16760,44867,2,000855666,0777/KİŞ-0282667-HÜSEYIN DINÇER-HESABA MAHSUBEN,525.51
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,16755,44867,2,000618376,0777/KİŞ-1340228-HÜSEYIN DINÇER-HESABA MAHSUBEN,1449.58
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,16750,44867,2,000626369,0777/KİŞ-3502320-HÜSEYIN DINÇER-HESABA MAHSUBEN,2500.60
0002-OZ,ATA BÜFE-HÜSEYİN DİN,OZ,16745,44867,2,000952020,0777/KİŞ-4644740-HÜSEYIN DINÇER-HESABA MAHSUBEN,465.48
